,grado_entrada,grado_salida,grado_total,intermediacion,cercania
erickalbert76,0.0,7.0,7.0,0.0005830364736534071,0.4562399883500801
geme40241783,4.0,3.0,7.0,6.114614785383136e-07,0.4553779069767442
ronaldvillato11,0.0,7.0,7.0,9.299887144881686e-06,0.4562399883500801
deboraarchila,0.0,7.0,7.0,1.5225720439098773e-05,0.4568387284922718
drjcvilleda,0.0,7.0,7.0,5.404593784019059e-06,0.4569053521948374
jimmi_paz99373,1.0,6.0,7.0,2.127196577264917e-06,0.45697199533255545
jv_564,1.0,6.0,7.0,1.6837565653456964e-05,0.45657242786359664
canalantigua,7.0,0.0,7.0,1.1643848045056569e-05,0.31966125905519843
vald22283,0.0,7.0,7.0,2.004730797922552e-05,0.4567055393586006
ccaotoro,0.0,7.0,7.0,0.0006664733638135085,0.4573055028462998
liocas1,0.0,7.0,7.0,9.585750725756005e-06,0.45697199533255545
eguzmanmorales,0.0,7.0,7.0,2.7808339961976346e-06,0.45610714805648567
yaelmendez,0.0,7.0,7.0,1.761931943524046e-05,0.45657242786359664
cquevedo1313,1.0,6.0,7.0,2.4377995939052058e-06,0.45717204144170437
pajarraco47,0.0,7.0,7.0,0.000591232885286664,0.457439042195941
aida23856800,0.0,7.0,7.0,1.7076496127127865e-05,0.45703865791393145
patosalvajegt,0.0,7.0,7.0,0.00010452446309430839,0.4562399883500801
manuelp27147297,0.0,7.0,7.0,0.001972073474017131,0.4559080325960419
davidor12717882,0.0,7.0,7.0,0.0001541596276039788,0.4562399883500801
uuujjjr,0.0,7.0,7.0,1.5225720439098773e-05,0.4568387284922718
raulfalla31,7.0,0.0,7.0,6.064048563104467e-06,0.3204459445637721
luismuo49036684,0.0,7.0,7.0,1.6837565653456964e-05,0.45657242786359664
rojoexe86,1.0,6.0,7.0,1.6837565653456964e-05,0.45657242786359664
andrera_p,0.0,7.0,7.0,1.6837565653456964e-05,0.45657242786359664
breynaldopolan1,1.0,6.0,7.0,0.0002169677726691089,0.4567055393586006
perez81183,2.0,5.0,7.0,2.3781995097664926e-06,0.4564393939393939
donnerorlando,0.0,7.0,7.0,0.00010452446309430839,0.4562399883500801
carmenm32181341,0.0,7.0,7.0,0.0001541596276039788,0.4562399883500801
luisroberto110,0.0,7.0,7.0,0.0008859139586083789,0.4578401285985679
toyita_m,0.0,7.0,7.0,0.00044075412907401684,0.45663897391050867
68e33772d49743d,0.0,7.0,7.0,2.1479299876751122e-05,0.45677212421635804
eliseoraymundo,1.0,6.0,7.0,7.423652682064842e-05,0.4575726595589309
arnoldo1621017,0.0,7.0,7.0,2.14459408843288e-05,0.4564393939393939
giovannir15555,0.0,7.0,7.0,0.0001541596276039788,0.4562399883500801
mynor007,2.0,5.0,7.0,3.480349753845179e-05,0.45697199533255545
joselitosky,0.0,7.0,7.0,1.6837565653456964e-05,0.45657242786359664
iamisamendoza,1.0,6.0,7.0,1.6837565653456964e-05,0.45657242786359664
ulisessesil,0.0,7.0,7.0,0.0002851877093910712,0.45610714805648567
mimimansilla,0.0,7.0,7.0,1.5225720439098773e-05,0.4568387284922718
lorocomoco,0.0,7.0,7.0,0.00028125270542541265,0.45617355853232383
fer030801,0.0,7.0,7.0,0.0002172754829454467,0.4579739804122204
pinchariccortta,0.0,7.0,7.0,0.00019100735251642597,0.45617355853232383
robpol68,0.0,7.0,7.0,2.1479299876751122e-05,0.45663897391050867
armandoleongt,7.0,0.0,7.0,1.817856641573367e-06,0.3157947787521419
rompe_gt,0.0,7.0,7.0,3.898434335125234e-06,0.45663897391050867
de_villacorta,0.0,7.0,7.0,5.692395126878037e-06,0.45703865791393145
ertadivarius,0.0,7.0,7.0,5.521246534980737e-06,0.45717204144170437
kennetkda,1.0,6.0,7.0,0.0004289981520030014,0.4558416994034628
rjrm__,1.0,6.0,7.0,0.0004289981520030014,0.4558416994034628
erwintaracena,0.0,7.0,7.0,2.725804830767472e-06,0.45637290604515657
smartco38784291,0.0,7.0,7.0,6.513533953848683e-06,0.45717204144170437
clousgario,7.0,0.0,7.0,2.3337538892290245e-06,0.3174908796108634
ruidocarwashagm,0.0,7.0,7.0,0.0002503453422971061,0.4562399883500801
daccabrera,2.0,5.0,7.0,1.5615031140557718e-05,0.4564393939393939
hermalang,0.0,7.0,7.0,0.0007633140925851876,0.45723876240513717
jmilei,7.0,0.0,7.0,1.4686934955931755e-05,0.3145266539504066
tn23noticias,6.0,1.0,7.0,8.536088370240337e-06,0.4586444151661543
noficciongt,5.0,2.0,7.0,0.0012790223822244538,0.3206755373592631
blancal21054134,3.0,4.0,7.0,3.2931496538180016e-06,0.4567055393586006
ba7decffbc6249e,0.0,7.0,7.0,1.076481045146823e-05,0.45630643751820565
pedroal59490837,0.0,7.0,7.0,0.00015005896295468434,0.4562399883500801
dipparlacengt,0.0,7.0,7.0,0.0008055246738732545,0.45597438509678356
lhazmitia,5.0,2.0,7.0,6.251570693041318e-06,0.3354389721627409
carlitos197,1.0,6.0,7.0,7.0279690214281706e-06,0.45630643751820565
adrian1771620,0.0,7.0,7.0,0.0001465931512328323,0.45637290604515657
el_periodico,7.0,0.0,7.0,2.046191984274414e-05,0.3214322355596594
ritaow,0.0,7.0,7.0,2.1479299876751122e-05,0.45663897391050867
alegutierrezv,7.0,0.0,7.0,1.0327527528463248e-06,0.3172015794269515
kimyorion,7.0,0.0,7.0,1.0327527528463248e-06,0.3172015794269515
inmogeneralgt,0.0,7.0,7.0,1.5225720439098773e-05,0.4568387284922718
fabianv35825370,0.0,7.0,7.0,0.0006664733638135085,0.4573055028462998
hansogt,0.0,6.0,6.0,0.0004840672104124493,0.4559080325960419
axejo10,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
diegomdsn,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
marvinic,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
borrayooli68058,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
odiliacatalan,1.0,5.0,6.0,1.945252378891114e-06,0.45617355853232383
f4c4745470d54da,2.0,4.0,6.0,1.9912194522026848e-06,0.45637290604515657
abnermazar35539,0.0,6.0,6.0,2.107857992102485e-05,0.45610714805648567
7ab3e6a4505c45d,0.0,6.0,6.0,3.4712224969789585e-05,0.4558416994034628
ak94901,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
juaneshrrnande1,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
juanandrescog,2.0,4.0,6.0,7.103852687001382e-06,0.4562399883500801
luisferactivo,0.0,6.0,6.0,0.000132576416078779,0.45564281559045955
rocasgt,5.0,1.0,6.0,7.016218073797377e-06,0.3164966158197798
marlissepo,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
wale2953,0.0,6.0,6.0,2.1479299876751122e-05,0.45657242786359664
foho240,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
mesas752066,0.0,6.0,6.0,1.603345590668992e-05,0.4567055393586006
camineroci14202,0.0,6.0,6.0,3.209686986031651e-05,0.45637290604515657
fran5720os,0.0,6.0,6.0,4.444777817154579e-05,0.45650590120938367
humbert32620962,0.0,6.0,6.0,9.116530063943227e-06,0.45610714805648567
jorgelp67646885,1.0,5.0,6.0,0.0003153285899847249,0.45610714805648567
pepefutbol15,2.0,4.0,6.0,0.0,0.4554441052478558
antipoliticogt,0.0,6.0,6.0,7.531838537958446e-05,0.4558416994034628
sunflowerbabe91,0.0,6.0,6.0,2.1479299876751122e-05,0.45657242786359664
gersonquezadaa,0.0,6.0,6.0,7.767224409534556e-05,0.4559080325960419
carlosgirard1,1.0,5.0,6.0,4.69868149890271e-06,0.45657242786359664
lachoalfaro,1.0,5.0,6.0,3.7048048669214394e-06,0.45650590120938367
df_romero,0.0,6.0,6.0,0.00010455923309834125,0.4564393939393939
guatv_,4.0,2.0,6.0,7.277425676777484e-07,0.45637290604515657
ugoomez,0.0,6.0,6.0,3.36872899353711e-05,0.45597438509678356
adimparody,0.0,6.0,6.0,3.2519419631351855e-05,0.4560407569141194
marcoarbencista,3.0,3.0,6.0,0.0,0.45577538551061975
lilianmerlo,0.0,6.0,6.0,0.00033128917169608527,0.45663897391050867
melmoce,0.0,6.0,6.0,1.9567743230371657e-05,0.45577538551061975
ergt2020,3.0,3.0,6.0,7.266428033290301e-08,0.4555103227682466
mmerida65,0.0,6.0,6.0,3.2519419631351855e-05,0.4560407569141194
steadhamstevie,1.0,5.0,6.0,2.2733187766811602e-07,0.4559080325960419
miguel_artiga,0.0,6.0,6.0,2.601495665719369e-06,0.45723876240513717
estuardovalle83,2.0,4.0,6.0,1.9860164774603383e-06,0.45617355853232383
rov2310,1.0,5.0,6.0,4.768178077959438e-06,0.45630643751820565
antonio36114,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
sacarmandoedgar,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
noizquierda3,0.0,6.0,6.0,1.1361112679699076e-05,0.45597438509678356
lainlia,0.0,6.0,6.0,2.7236248282833947e-05,0.4559080325960419
jv19887788,1.0,5.0,6.0,3.4079961610703486e-07,0.4554441052478558
cuatamermelada,1.0,5.0,6.0,5.676419311648144e-06,0.45697199533255545
yefryag,1.0,5.0,6.0,3.7048048669214394e-06,0.45650590120938367
denise1709,0.0,6.0,6.0,0.00032802242481476656,0.4583089526038619
jracruzv77,1.0,5.0,6.0,1.945252378891114e-06,0.45717204144170437
leopoldodinos,0.0,6.0,6.0,2.4513401774488145e-06,0.45697199533255545
maximogeronimo6,3.0,3.0,6.0,2.4986741125211396e-06,0.45717204144170437
herman5818pb,6.0,0.0,6.0,2.93180257799416e-06,0.3158903004638032
edwincko,0.0,6.0,6.0,9.318671138546739e-05,0.45597438509678356
relajerototal,0.0,6.0,6.0,2.2840051563387816e-06,0.45617355853232383
tigermotorrad,0.0,6.0,6.0,0.00023557239519493548,0.4579739804122204
1056_antonio,0.0,6.0,6.0,9.877675296441555e-05,0.45597438509678356
augustopazcar,0.0,6.0,6.0,0.00031856269830158,0.4567055393586006
unidospor502,0.0,6.0,6.0,0.0006489231800529905,0.45610714805648567
josue877229,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
lionelg76720488,0.0,6.0,6.0,2.1479299876751122e-05,0.45657242786359664
502gcyrius,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
xibalba2424,0.0,6.0,6.0,0.00014339935189042343,0.4560407569141194
sihubogenocidio,0.0,6.0,6.0,0.0003569501543627165,0.4562399883500801
jccastao,0.0,6.0,6.0,1.603345590668992e-05,0.4567055393586006
francisko2323,0.0,6.0,6.0,4.960645491170466e-06,0.4568387284922718
dulkelheit,0.0,6.0,6.0,3.1053994456338093e-06,0.4568387284922718
laviejita34,0.0,6.0,6.0,3.2519419631351855e-05,0.4560407569141194
thelmaaldana,6.0,0.0,6.0,1.7013929866378806e-05,0.3226902873622412
mgts3547,1.0,5.0,6.0,0.00045381652089275683,0.4557090909090909
pilotegra50,0.0,6.0,6.0,2.1479299876751122e-05,0.45657242786359664
garridohigueros,0.0,6.0,6.0,1.9843783064594636e-05,0.45610714805648567
tevoyafunargt,0.0,6.0,6.0,0.0008442212013190281,0.45577538551061975
pablopepablo,2.0,4.0,6.0,0.0,0.4554441052478558
gerardoocana,2.0,4.0,6.0,0.0,0.4554441052478558
javieranath,3.0,3.0,6.0,7.715360932641077e-07,0.45637290604515657
__jovidi__,1.0,5.0,6.0,0.00044039128015037576,0.45650590120938367
mejianivea,0.0,6.0,6.0,2.1479299876751122e-05,0.45657242786359664
deleagew,2.0,4.0,6.0,3.745568965490659e-06,0.45657242786359664
anali480,0.0,6.0,6.0,0.00034488222775678974,0.45677212421635804
freelif36854702,1.0,5.0,6.0,0.00023966865769284586,0.45577538551061975
marioabrahamlo3,0.0,6.0,6.0,3.363364632926282e-06,0.4573055028462998
chuza_andrea,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
cari81724024,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
elrosaenverdese,2.0,4.0,6.0,1.3704356440511156e-06,0.4558416994034628
rivasbors,1.0,5.0,6.0,3.7048048669214394e-06,0.45650590120938367
guatephantom,0.0,6.0,6.0,0.0007321927226233404,0.4568387284922718
qschwank,0.0,6.0,6.0,7.453028766072705e-05,0.4564393939393939
edpperez,0.0,6.0,6.0,0.0015045306036209928,0.4558416994034628
consentido4you,1.0,5.0,6.0,0.0002724751900368164,0.45597438509678356
mayeli25084285,0.0,6.0,6.0,2.1479299876751122e-05,0.45657242786359664
josmchacn2,6.0,0.0,6.0,3.15092469514338e-06,0.31646464646464645
charlesmc_gt,0.0,6.0,6.0,0.0006433264290851595,0.4569053521948374
rob25535flores,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
mariabonita9697,0.0,6.0,6.0,3.842277662799079e-05,0.4564393939393939
helencinmar,0.0,6.0,6.0,0.0007046978844483794,0.4559080325960419
chlmnews,5.0,1.0,6.0,7.769416853308236e-07,0.45657242786359664
diicesare,0.0,6.0,6.0,3.2519419631351855e-05,0.4560407569141194
cc2024w_carlos,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
yuuupii1234,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
pablitolemus_dv,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
domingo2325943,0.0,6.0,6.0,2.1540829720146417e-06,0.4562399883500801
somson18853532,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
robertojrguill4,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
360tono,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
alvarocolomc,6.0,0.0,6.0,1.206501522745553e-06,0.3193354398124554
derbestehugo,0.0,6.0,6.0,2.3350932255208018e-06,0.4562399883500801
elizabethvelsqu,1.0,5.0,6.0,1.5643008486385994e-05,0.45597438509678356
donfifas57,0.0,6.0,6.0,2.4228892163523614e-06,0.4562399883500801
elbetorivers,0.0,6.0,6.0,2.4258719991560668e-06,0.45677212421635804
pdhgt,6.0,0.0,6.0,2.013035190453441e-06,0.32015123646024934
eduardmarried,0.0,6.0,6.0,3.7387749490624557e-06,0.45657242786359664
rbravo95504588,0.0,6.0,6.0,2.3827198288792947e-06,0.45657242786359664
frank0254180194,0.0,6.0,6.0,4.626510322257626e-05,0.45637290604515657
glucas12345,0.0,6.0,6.0,7.889667385673883e-05,0.45610714805648567
juliaramir,0.0,6.0,6.0,3.2519419631351855e-05,0.4560407569141194
gtliberta35774,0.0,6.0,6.0,4.95178966202189e-06,0.45597438509678356
provialoficial,6.0,0.0,6.0,2.5238951297862775e-06,0.31582661290322583
elotroikar,0.0,6.0,6.0,0.00012193169282750089,0.45617355853232383
__anakingt,1.0,5.0,6.0,1.5277397460658224e-05,0.45577538551061975
monical01111764,1.0,5.0,6.0,1.4653199232048855e-05,0.45597438509678356
josuechicol94,0.0,6.0,6.0,1.7985870216968243e-05,0.45617355853232383
joshxb4,0.0,6.0,6.0,5.546711548836304e-06,0.45710533994747593
ronactual,2.0,4.0,6.0,0.00011684876037954903,0.4555103227682466
sa_gunnison,2.0,4.0,6.0,0.00011684876037954903,0.4555103227682466
tonoperre,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
dani17sama,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
dannyalarcon160,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
luisher44478811,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
gacastan,0.0,6.0,6.0,1.1305292293558594e-05,0.45657242786359664
marloa4,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
rdm19761,0.0,6.0,6.0,3.2519419631351855e-05,0.4560407569141194
agenciaocote,2.0,4.0,6.0,0.0012789158298259795,0.3428915398927438
gontinez,0.0,6.0,6.0,2.7348019053325256e-05,0.45657242786359664
alejochrislu,4.0,2.0,6.0,3.1158346852839295e-06,0.4577063550036523
bernardocaal2,6.0,0.0,6.0,2.462107863167946e-06,0.3160177526729877
wamado04,0.0,6.0,6.0,1.7985870216968243e-05,0.45617355853232383
carlos_hoffman_,6.0,0.0,6.0,2.7205385476859194e-06,0.3163368336025848
benjami52021638,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
lourdesdecasti2,0.0,6.0,6.0,5.163750978063614e-05,0.4562399883500801
carlospere29908,0.0,6.0,6.0,1.0846814161818608e-05,0.45637290604515657
alejand22363073,0.0,6.0,6.0,9.835221695690972e-05,0.4562399883500801
angemaro12,0.0,6.0,6.0,4.960645491170466e-06,0.4568387284922718
lapulpita7,0.0,6.0,6.0,3.7581147344631944e-06,0.4567055393586006
catdog1923,0.0,6.0,6.0,4.68874252070276e-06,0.4567055393586006
salem_joaquin,0.0,6.0,6.0,3.6082939037075934e-06,0.4569053521948374
diegoedeleon,6.0,0.0,6.0,2.780137394542488e-06,0.3166565595310289
jossrey14,0.0,6.0,6.0,3.2519419631351855e-05,0.4560407569141194
tv_profe,0.0,6.0,6.0,3.2519419631351855e-05,0.4560407569141194
preguntonchapin,0.0,6.0,6.0,2.7564188206426876e-05,0.4562399883500801
jorgegu59035932,0.0,6.0,6.0,8.200919888019674e-05,0.457439042195941
estuard06079185,0.0,6.0,6.0,2.5518312297299534e-05,0.45663897391050867
julius1818,2.0,4.0,6.0,0.00015939163072190457,0.45650590120938367
kimm_2412,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
gtmayorga,0.0,6.0,6.0,2.2910868772093456e-06,0.45650590120938367
adolfoalbertoc2,5.0,1.0,6.0,1.043646889359056e-06,0.45564281559045955
jormaz2425,0.0,6.0,6.0,2.284953200301308e-06,0.4567055393586006
olgadiaz70157,0.0,6.0,6.0,4.882321928123591e-06,0.45657242786359664
wiixopotter11,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
yumanyumanedgar,0.0,6.0,6.0,2.3718645414510274e-06,0.4568387284922718
eduardo18748635,0.0,6.0,6.0,4.4807762641465806e-06,0.4562399883500801
monomalteco,1.0,5.0,6.0,3.8369973681987926e-07,0.45610714805648567
alvaroarzue,6.0,0.0,6.0,8.182698555705262e-06,0.32100409836065574
eduarro2016,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
neykerforoz,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
midnitegt,0.0,6.0,6.0,1.6837565653456964e-05,0.45650590120938367
nthinglsethnme,0.0,6.0,6.0,0.0006606797851433585,0.45657242786359664
tcorzo36309,0.0,6.0,6.0,8.091892750003296e-07,0.4564393939393939
usuarioo0006,0.0,6.0,6.0,0.0001967330336363716,0.45663897391050867
dyessym,0.0,6.0,6.0,0.0024287544769205196,0.45610714805648567
el_incomodo88,0.0,6.0,6.0,3.7387749490624557e-06,0.45657242786359664
brenda_agn,1.0,5.0,6.0,5.593309695573025e-06,0.45577538551061975
dosisincompleta,0.0,6.0,6.0,4.475735071625306e-06,0.45697199533255545
luisfguzmn2,0.0,5.0,5.0,3.0367945431487983e-05,0.45577538551061975
mys_servicios,1.0,4.0,5.0,3.7048048669214394e-06,0.4573055028462998
cesarm01j,0.0,5.0,5.0,0.00028525764311001893,0.45577538551061975
freddmonte,0.0,5.0,5.0,1.0427132264363379e-05,0.4560407569141194
gilbertc72,0.0,5.0,5.0,4.960645491170466e-06,0.45677212421635804
soyleyenda_1_,1.0,4.0,5.0,1.945252378891114e-06,0.45610714805648567
carloschi87,1.0,4.0,5.0,3.6031203394732323e-07,0.4555765595463138
esemancogt,0.0,5.0,5.0,3.7048048669214394e-06,0.45650590120938367
wanderlust19851,0.0,5.0,5.0,2.0905867627185003e-06,0.45610714805648567
healca_2021,1.0,4.0,5.0,1.1492175346128874e-05,0.45564281559045955
amnistiaonline,5.0,0.0,5.0,5.322757837000201e-06,0.3161134093431541
mcdguate,5.0,0.0,5.0,4.186157448123243e-06,0.3156993147924224
chuchodecalle,1.0,4.0,5.0,3.7048048669214394e-06,0.45650590120938367
jav_jos02,3.0,2.0,5.0,6.845747517758332e-08,0.45564281559045955
justintrudeau,5.0,0.0,5.0,0.00011260211796868498,0.3177162559578136
hassen201907,0.0,5.0,5.0,2.048427905958369e-06,0.4567055393586006
mynoraroldopab1,1.0,4.0,5.0,0.00013084674247785082,0.45564281559045955
ale07gt,0.0,5.0,5.0,2.0905867627185003e-06,0.45610714805648567
resilente58136,0.0,5.0,5.0,2.268689014383773e-06,0.45617355853232383
29alexander29,0.0,5.0,5.0,9.116530063943227e-06,0.4558416994034628
anita_bol,0.0,5.0,5.0,1.5063544992311742e-05,0.45577538551061975
gersondavid502,0.0,5.0,5.0,0.0006486544318281694,0.45564281559045955
ferreroluis,1.0,4.0,5.0,1.4653199232048855e-05,0.45564281559045955
peedugu,0.0,5.0,5.0,0.00011377570701264532,0.45577538551061975
pedroma47399018,0.0,5.0,5.0,4.1508852269425745e-05,0.4557090909090909
smarthuit,0.0,5.0,5.0,0.00015376718669551971,0.45610714805648567
edwinfolgar1,0.0,5.0,5.0,1.4789079560612928e-05,0.45564281559045955
sasantosg,0.0,5.0,5.0,3.1380886840193154e-05,0.45657242786359664
finquerosgt,0.0,5.0,5.0,0.001301426628885526,0.45564281559045955
classic_amb,0.0,5.0,5.0,1.7137691023461957e-06,0.45597438509678356
mr_latigo_,0.0,5.0,5.0,6.186939093782364e-07,0.45610714805648567
ronald_gudiel,0.0,5.0,5.0,1.945252378891114e-06,0.45650590120938367
andrespaniagua_,2.0,3.0,5.0,0.0,0.4555103227682466
cnnee,5.0,0.0,5.0,8.637181617190214e-06,0.31800649614291515
loquique,0.0,5.0,5.0,0.0015916966868258513,0.45564281559045955
oemc311,0.0,5.0,5.0,2.268689014383773e-06,0.45617355853232383
chapinamerican0,0.0,5.0,5.0,0.0012824496895360625,0.4555765595463138
chichiflixer,0.0,5.0,5.0,3.755759990132964e-06,0.45650590120938367
luisca_o,0.0,5.0,5.0,2.268689014383773e-06,0.45617355853232383
maninvisible19,0.0,5.0,5.0,3.8494278659247486e-05,0.45597438509678356
wayoway60601009,0.0,5.0,5.0,3.9685776255278295e-06,0.45677212421635804
wsfalonzo,0.0,5.0,5.0,4.960645491170466e-06,0.45677212421635804
deliogabbie,0.0,5.0,5.0,3.6105344447024227e-07,0.4555765595463138
soylacanallare1,0.0,5.0,5.0,1.945252378891114e-06,0.4562399883500801
saul9043333686,1.0,4.0,5.0,1.945252378891114e-06,0.45663897391050867
martin_rodas,1.0,4.0,5.0,1.945252378891114e-06,0.45650590120938367
jrtoledo,1.0,4.0,5.0,2.485449433494343e-05,0.4555103227682466
ladyjustice85,1.0,4.0,5.0,2.485449433494343e-05,0.4555103227682466
festivalesgt,5.0,0.0,5.0,1.536812238555111e-06,0.31414820014037903
linopagli,0.0,5.0,5.0,3.054659270541053e-06,0.45717204144170437
negrismr19,0.0,5.0,5.0,6.072574871153764e-05,0.4558416994034628
edinalbertoa,0.0,5.0,5.0,4.752758712166872e-06,0.4558416994034628
lico_joachin,0.0,5.0,5.0,1.7247904801361818e-07,0.45630643751820565
denysorozco,0.0,5.0,5.0,3.7048048669214394e-06,0.45650590120938367
macotobar1,0.0,5.0,5.0,2.6311846735978522e-05,0.45617355853232383
juanpac24983434,1.0,4.0,5.0,0.0,0.45577538551061975
tseguatemala,5.0,0.0,5.0,1.9797898983668544e-05,0.32192766132346895
geniocompu2,0.0,5.0,5.0,5.1664323202255946e-05,0.4567055393586006
kawoq1000,0.0,5.0,5.0,2.0905867627185003e-06,0.45610714805648567
silviam56972404,2.0,3.0,5.0,1.8719832066663863e-06,0.45637290604515657
gabs_orlando,1.0,4.0,5.0,1.517839322235368e-05,0.45564281559045955
billsantizo,1.0,4.0,5.0,0.0005143477379234773,0.45564281559045955
jaksonya,0.0,5.0,5.0,2.719424247287523e-05,0.4560407569141194
charliefb6,0.0,5.0,5.0,3.7048048669214394e-06,0.45650590120938367
pablo_arriola_,0.0,5.0,5.0,0.0006813817223476822,0.45577538551061975
doodiegt,0.0,5.0,5.0,4.0138230284511015e-06,0.45650590120938367
wilsongg16,2.0,3.0,5.0,0.0,0.4557090909090909
josue_myron,0.0,5.0,5.0,2.0979066739421753e-06,0.45610714805648567
abner_schol,0.0,5.0,5.0,2.0905867627185003e-06,0.45610714805648567
everpeco13,0.0,5.0,5.0,1.945252378891114e-06,0.45610714805648567
ravila_gtv,4.0,1.0,5.0,7.423279839420651e-07,0.4555765595463138
luisruizdg,0.0,5.0,5.0,2.0132876760061783e-06,0.4581079105132329
exeticmaster,2.0,3.0,5.0,9.080839122163179e-05,0.4562399883500801
adolforojas07,1.0,4.0,5.0,4.17611830175134e-05,0.4564393939393939
centranewsgt,0.0,5.0,5.0,1.3446372094539415e-06,0.45577538551061975
pacojnavarrom,0.0,5.0,5.0,0.0010424250208626296,0.45564281559045955
theclub89a,0.0,5.0,5.0,1.5200405327322596e-05,0.45564281559045955
srmindefgt,5.0,0.0,5.0,3.0409114423182906e-06,0.3172015794269515
suchiniluis,2.0,3.0,5.0,1.0191024642305226e-07,0.45524556814879397
camafre,0.0,5.0,5.0,3.257247478524918e-05,0.4558416994034628
gationavas,0.0,5.0,5.0,3.7048048669214394e-06,0.45650590120938367
diegoespana_,5.0,0.0,5.0,1.8438174721016182e-07,0.3147162230035158
onlyenmiguate,2.0,3.0,5.0,1.1954533058116183e-05,0.32199383350462485
anaelifurlan,0.0,5.0,5.0,2.048427905958369e-06,0.4567055393586006
fmendezargueta,0.0,5.0,5.0,0.0012891551910925352,0.4555765595463138
carlitosamiel,3.0,2.0,5.0,2.05699022734087e-07,0.4554441052478558
rodri8,0.0,5.0,5.0,1.945252378891114e-06,0.45650590120938367
spillariroberto,0.0,5.0,5.0,0.0,0.4555765595463138
asodeguaong,3.0,2.0,5.0,2.038204928461045e-07,0.4558416994034628
abner12a,5.0,0.0,5.0,7.00958425295722e-07,0.31627296587926507
harmandoleongrr,0.0,5.0,5.0,3.7048048669214394e-06,0.45650590120938367
gabrielboric,5.0,0.0,5.0,5.782008347682432e-05,0.31672058228871813
rodriguezadani,0.0,5.0,5.0,6.520298168833176e-05,0.4560407569141194
jricardomorales,0.0,5.0,5.0,5.414073141613748e-05,0.45617355853232383
leyendoaca,0.0,5.0,5.0,1.1974946346984032e-06,0.45750584112149534
otocapo,0.0,5.0,5.0,0.00034158984897044445,0.45710533994747593
dbeatrizmb,0.0,5.0,5.0,1.382172477862185e-07,0.4564393939393939
maradoniosan,0.0,5.0,5.0,2.0905867627185003e-06,0.45610714805648567
teamocory3,0.0,5.0,5.0,0.0,0.4555765595463138
victorkonkova,0.0,5.0,5.0,0.00017511115974166365,0.45650590120938367
batresjulia,0.0,5.0,5.0,9.320282251066117e-06,0.4559080325960419
joshmizrahim,1.0,4.0,5.0,1.945252378891114e-06,0.45663897391050867
lachogt1,0.0,5.0,5.0,3.761627246831224e-05,0.45677212421635804
dickbeauchig,0.0,5.0,5.0,3.7048048669214394e-06,0.45650590120938367
peterxela90,0.0,5.0,5.0,4.0138230284511015e-06,0.45650590120938367
castillo_tonito,0.0,5.0,5.0,2.0905867627185003e-06,0.45610714805648567
voxpopuliguate,5.0,0.0,5.0,4.033118236020604e-06,0.31855617691916627
marvin50146584,0.0,5.0,5.0,1.945252378891114e-06,0.4562399883500801
fiscalnvicto,5.0,0.0,5.0,5.993844410136817e-06,0.32159720796551017
oscar2775763497,0.0,5.0,5.0,0.00015935086662333537,0.4564393939393939
rlornazana,0.0,5.0,5.0,5.093405299831987e-06,0.45663897391050867
yocquetegusta,1.0,4.0,5.0,1.945252378891114e-06,0.45663897391050867
esequielmo90988,0.0,5.0,5.0,3.166852091370079e-05,0.45637290604515657
