,grado_entrada,grado_salida,grado_total,intermediacion,cercania
pepecuevas73,1.0,29.0,30.0,0.0011618428923984986,0.45972120322817317
corleone_62,0.0,28.0,28.0,0.00024678134489167014,0.4596537558685446
elmerlandazuri7,1.0,27.0,28.0,0.0005639265240081453,0.45931681571617067
royalvaradogt,24.0,4.0,28.0,4.487964174569301e-05,0.45972120322817317
donaldoalvr,1.0,27.0,28.0,0.0012515667468136012,0.4595863282969048
juliantono400,0.0,27.0,27.0,0.0016471620057601742,0.45972120322817317
rudysalgue,2.0,25.0,27.0,0.0028341556611829765,0.4647678385996143
papaabumario,0.0,27.0,27.0,0.0009469636866854688,0.4595863282969048
yoda_baganas,8.0,19.0,27.0,0.0014790155450180435,0.4597886703845025
vvj_gt,3.0,24.0,27.0,0.002072452583608675,0.4594515324827687
pacogoldman,27.0,0.0,27.0,3.6703519486654266e-05,0.3347579869644193
viniciogutierr3,26.0,0.0,26.0,2.8796152276227154e-05,0.3216632443531828
isapaiz_,26.0,0.0,26.0,3.287216311362779e-05,0.3170731707317073
civ_guatemala,25.0,1.0,26.0,0.00015476125362061198,0.32659230689044094
eedlb,1.0,25.0,26.0,0.0009193193093139831,0.4595863282969048
sw_jrh96,7.0,19.0,26.0,0.001273807780027767,0.4581079105132329
marco310367,1.0,25.0,26.0,0.00034123456145356847,0.45931681571617067
martinmoli59062,0.0,26.0,26.0,0.003679375095953697,0.45972120322817317
rafaeldelaguil8,6.0,20.0,26.0,0.0024050057274673624,0.4595863282969048
gilrey422483,0.0,26.0,26.0,0.00231863413302801,0.45972120322817317
kroldegarcia,0.0,25.0,25.0,0.0013719492472833129,0.45972120322817317
mundo9999,1.0,24.0,25.0,0.0008125286695933288,0.45904761904761904
harol5665776575,0.0,25.0,25.0,0.0036609688379874443,0.4587787377361254
erroresgt,1.0,24.0,25.0,0.0002228060664376083,0.4587787377361254
dvidx84,0.0,25.0,25.0,0.000204627313334812,0.4593841642228739
aliaslajose,13.0,12.0,25.0,0.00022851948171354278,0.4598561573462498
leraovalle,10.0,15.0,25.0,0.0001637842769605546,0.4576394975167981
frjuheal,0.0,24.0,24.0,0.0111930899956685,0.45817490494296575
publinewsgt,24.0,0.0,24.0,1.72499920275188e-05,0.3186209702023797
vanessaherrer02,3.0,21.0,24.0,0.001866221523151985,0.45931681571617067
spaceboy88fly,3.0,21.0,24.0,0.00010403294498408057,0.4603291213635028
ilianagarsa,0.0,24.0,24.0,0.00026304575029199786,0.45884592852958406
pfacticos,4.0,20.0,24.0,0.0007676188028877901,0.4596537558685446
robertr02304443,0.0,23.0,23.0,0.0011652615385390364,0.45918217792759786
patrici07680625,5.0,18.0,23.0,8.23807480723258e-05,0.4598561573462498
wjmartinv,22.0,1.0,23.0,4.418423657461772e-05,0.46087084436599
guatemejor1,0.0,23.0,23.0,0.00023598288531538335,0.4587115666178624
vozdeltuit,16.0,7.0,23.0,0.0002172621104184992,0.4605321181831545
satgt,23.0,0.0,23.0,1.1313743479040036e-05,0.3174908796108634
ashley_monzon,23.0,0.0,23.0,2.8465977330001555e-05,0.32219251336898397
mrdogo35,0.0,22.0,22.0,0.0005867975846112208,0.4583089526038619
orellanafredy1,22.0,0.0,22.0,4.3710908445770276e-05,0.33358177172061326
silencio009,0.0,22.0,22.0,0.010945546998047619,0.45817490494296575
